username	address	name	user_id	job	ssn	company	imei	registration	residence	mail	birthdate
nancywagner	"Unit 3496 Box 9846
DPO AE 23667"	Shelly Thomas	1713		568-30-2539	Miller, Kirby and Davis	863033069630348636	02 Aug 2018		brandonsmith@hotmail.com	2004-12-08
millerdakota	"677 Jay Vista Suite 015
Brownhaven, LA 18432"	Amy Horn	1886		395-74-2254	Gonzalez, Andrade and Robinson	359043379931766007	18 Feb 2022		keithgibbs@gmail.com	1931-09-11
meyerabigail	"3746 Baldwin Estate Suite 335
West Travis, SD 11370"	Leah Campbell	184		848-91-2310	Boyle, Taylor and Sampson	8630330696303481487	2021/08/17		steve72@yahoo.com	1931-11-04
timothyhart	"8748 Villarreal Lights
West Michaelfurt, WA 61937"	Joseph Miller	920	Fast food restaurant manager	247-95-0332	Smith-Rodriguez	8630330696303481156	2023-10-24	"864 Jared Overpass Suite 869
Port Amanda, WI 55388"	mfletcher@hotmail.com	1955-01-15
jenniferwilliams	"499 Michael Flat
Jesseview, HI 05817"	Kimberly Williams	2557		162-02-9998	Ramsey-Fernandez	8630330696303481453	2018-03-19		ryanmartinez@yahoo.com	1966-09-30
rmoreno	"8586 Trevor Bridge Suite 302
Jacksonstad, WV 92271"	Kenneth Henry	1146		487-23-6359	Rhodes, Garza and Moyer	3590433799317662386	29 Mar 2023		washingtonjustin@hotmail.com	1932-06-06
allenbuckley	"970 Allison Wall
Port Michaelport, CA 94069"	Glen Lopez	896	Barista	321-91-4185	Miller-Rivera	863033069630348065	10/05/2018, 00:00:00		trussell@yahoo.com	1999-12-09
mullinsmolly		James Alvarado	2298		704-42-9217	Adams, Perkins and Arnold	359043379931766494	11/19/2018, 00:00:00		jenna69@yahoo.com	
colton54	"774 Padilla Expressway
Richardfort, ID 73309"	Shannon Parker	2189		254-68-4500	Roy and Sons	3590433799317662113	2018-08-03		robertmartinez@yahoo.com	
hvelasquez	"2517 Diaz Ports
North Donnamouth, WV 07443"	Sabrina Walton	89	Secretary, company	410-78-3218	White, Ferguson and Figueroa	3590433799317661859	09/08/2019, 00:00:00		kflores@hotmail.com	
deborah89	"088 Scott Meadows Apt. 586
North Tracy, KY 57016"	Vincent Stark	1494	Marketing executive	624-23-0778	Hale, Fletcher and Long	863033069630348578	02/16/2020, 00:00:00		pamela25@hotmail.com	1921-03-21
